id,checkpoint_path,logit_cosine,prob_cosine,inverse_kl,symmetric_inverse_kl,top1_agreement,top5_overlap,margin_similarity,confidence_similarity,same_correct,same_wrong,confidence_corr,target_acc,suspect_acc,acc_similarity,load_error
36,suspect_models\suspect_036.safetensors,0.5554319883733522,0.5666443469474364,0.5283035369668156,0.5140960057217627,0.5068,0.4789900117628276,0.16659343887055292,0.5906539598479867,0.50665,0.00015,0.12519677377092187,0.99965,0.50675,0.6698372295532186,
37,suspect_models\suspect_037.safetensors,0.685584555914905,0.8369608791971417,0.6624637311849743,0.6506259155109525,0.80925,0.5341600128281861,0.24936295842630787,0.815882357405126,0.80915,0.0001,0.18558004170831438,0.999675,0.809275,0.8400537634408602,
38,suspect_models\suspect_038.safetensors,0.9187371973961592,0.9995287879759446,0.935267973125726,0.9350327740132809,0.999675,0.6318950147315859,0.5188781399348751,0.9892291359812021,0.99955,0.000125,0.5288898428350343,0.99975,0.999675,0.9999250056245781,
39,suspect_models\suspect_039.safetensors,0.8178093915605452,0.8448203681179847,0.6827122978188097,0.6911760360628366,0.831725,0.5641250136051327,0.274959501829464,0.7159140517413616,0.83145,0.000275,0.21520644028332214,0.99945,0.83155,0.8562376915831835,
40,suspect_models\suspect_040.safetensors,0.9999999712139368,0.9999999991029501,0.9999999403178692,0.999999937465787,1.0,0.9997050000175833,0.9985988265603781,0.9999885731369257,0.999625,0.000375,0.9999994672336644,0.999625,0.999625,1.0,
41,suspect_models\suspect_041.safetensors,0.9105839341729879,0.9995754166193307,0.9205915690205991,0.9219959360286594,0.999575,0.6205550147633999,0.4934832470353693,0.9895857654005289,0.9995,7.5e-05,0.2184707983470858,0.99955,0.999875,0.9996751055906831,
42,suspect_models\suspect_042.safetensors,0.9005380820944905,0.9983281055606902,0.7519013928532601,0.7423597863912582,0.9993,0.6660400144353509,0.25456607479918747,0.9114344632610679,0.99925,5e-05,0.48023908879301647,0.999675,0.999525,0.9998500224966254,
43,suspect_models\suspect_043.safetensors,0.7862288604588248,0.706956403091568,0.5808836923927069,0.59753961738348,0.667275,0.604090013544634,0.19998141351565718,0.5796459041506052,0.6671,0.000175,0.15969292625791234,0.999675,0.667175,0.7504690431519699,
44,suspect_models\suspect_044.safetensors,0.6846048562774435,0.7642127164671635,0.6428439888326452,0.6279958322964608,0.7262,0.5730300137378276,0.23529150052117184,0.7813503867223859,0.726125,7.5e-05,0.17302034465970775,0.9998,0.72615,0.7851450555490127,
45,suspect_models\suspect_045.safetensors,0.9981442900568247,0.9999619032025338,0.9948950953364373,0.994965126106143,0.999775,0.9310950041018426,0.7676403343737125,0.9972832344725728,0.999475,0.0003,0.9721513365465714,0.999575,0.9996,0.9999750006249845,
46,suspect_models\suspect_046.safetensors,0.9999999869242311,0.9999999995723367,0.9999999981880188,0.9999999939531088,1.0,0.9998350000098347,0.9992963835060596,0.9999943507909774,0.9997,0.0003,0.9999998565603362,0.9997,0.9997,1.0,
47,suspect_models\suspect_047.safetensors,0.7281178778590168,0.6315631348534356,0.5066141346111893,0.5311037317525595,0.58485,0.5589000130340457,0.1651354460434988,0.46687107352614404,0.584675,0.000175,0.1412499629059839,0.999675,0.584725,0.7067387540195768,
